"level" ,"Variables"                                                              ,"icd10"
      1 ,"Exclusion criteria"                                                     ,""
      2 ,"Diseases that may lead to a rare type of dementia (F02)"                ,""
      3 ,"Infectious diseases :"                                                  ,""
      4 ,"Neurosyphilis"                                                          ,"A52.1 ; A52.3 ( labelled in F02.8 )"
      4 ,"HIV / AIDS"                                                             ,"B20 - B24 ; Z21 ; F02.4"
      4 ,"Creutzfeldt - Jakob disease and other atypical virus
         infections of central nervous system"                                    ,"A81 ; F02.1"
      4 ,"Trypanosomiasis"                                                        ,"B56 - B57 ( labelled in F02.8 )"
      3 ,"Hereditary metabolic disorders :"                                       ,""
      4 ,"Disorders of sphingolipid metabolism"                                   ,"E75.0-4 ( labelled in F02.8 )"
      4 ,"Wilson disease"                                                         ,"E83.0 ( labelled in F02.8 )"
      3 ,"Hereditary neurological disorders :"                                    ,""
      4 ,"Huntington disease"                                                     ,"G10 ; F02.2"
      4 ,"Hereditary ataxia"                                                      ,"G11"
      4 ,"Spinal muscular atrophy"                                                ,"G12"
      4 ,"Hereditary and idiopathic neuropathy"                                   ,"G60"
      3 ,"Other neurological disorders :"                                         ,""
      4 ,"Parkinson disease"                                                      ,"G20 ; F02.3"
      4 ,"Extrapyramidal and movement disorders other than
         Huntington and Parkinson diseases"                                       ,"G21 - G24 ; G25.4-9 ; G26"
      4 ,"Multiple sclerosis"                                                     ,"G35 ( labelled in F02.8 )"
      4 ,"Hydrocephalus"                                                          ,"G91 ; G94.0-2"
      3 ,"Systemic connective tissue disorders :"                                 ,""
      4 ,"Polyarteritis nodosa"                                                   ,"M30.0 ( labelled in F02.8 )"
      4 ,"Systemic lupus erythematosus"                                           ,"M32 ( labelled in F02.8 )"
      2 ,"Early - life mental disorders that may increase or confound"            ,"dementia diagnosis"
      4 ,"Cerebral palsy"                                                         ,"G80"
      4 ,"Down syndrome"                                                          ,"Q90"
      4 ,"Other learning disability"                                              ,"E00 ; F7x"
      4 ,"Schizophrenia"                                                          ,"F2x"
      1 ,"Outcomes"                                                               ,""
      4 ,"Any dementia"                                                           ,"F00 - F03 ; F05.1 ; F1x.73 ; G30 - G31 ; 167.3 ; R54"
      3 ,"Dementia type :"                                                        ,""
      4 ,"Alcohol - related brain damage"                                         ,"F10.73 ; G31.2"
      4 ,"Vascular dementia"                                                      ,"F00.2; F01; I67.3; or any dementia with a history of stroke (I60-I64; I69; Z86.70) or transient ischemic attack (G45; Z86.60)"
      4 ,"Other dementia"                                                         ,"Remaining codes of any dementia"
      3 ,"Sensitivity analysis on dementia case definition:"                      ,""
      4 ,"Dementia recorded as the primary discharge diagnosis"                   ,"F00 - F03 ; F05.1 ; F1x.73 ; G30 - G31 ; 167.3 ; R54"
      4 ,"Dementia labelled in ICD - 10 , overall"                                ,"F00 - F03 ; F05.1 ; F1x.73 ; G30"
      4 ,"Dementia labelled in ICD - 10 , Alzheimer disease"                      ,"F00 ; G30"
      4 ,"Dementia labelled in ICD - 10 , vascular dementia"                      ,"F01"
      4 ,"Mild cognitive impairment without or before dementia onset"             ,"Flx.74 ; F06.7"
